DATE,HOUST1F
01 01 87,1224
01 02 87,1282
01 03 87,1205
01 04 87,1181
01 05 87,1141
01 06 87,1092
01 07 87,1137
01 08 87,1120
01 09 87,1232
01 10 87,1090
01 11 87,1112
01 12 87,1034
01 01 88,924
01 02 88,1070
01 03 88,1177
01 04 88,1072
01 05 88,1020
01 06 88,1106
01 07 88,1061
01 08 88,1109
01 09 88,1044
01 10 88,1139
01 11 88,1141
01 12 88,1131
01 01 89,1149
01 02 89,1002
01 03 89,982
01 04 89,1030
01 05 89,989
01 06 89,973
01 07 89,1027
01 08 89,1000
01 09 89,966
01 10 89,1025
01 11 89,1023
01 12 89,909
01 01 90,1100
01 02 90,1102
01 03 90,971
01 04 90,922
01 05 90,893
01 06 90,885
01 07 90,883
01 08 90,827
01 09 90,858
01 10 90,835
01 11 90,780
01 12 90,751
01 01 91,604
01 02 91,755
01 03 91,750
01 04 91,819
01 05 91,839
01 06 91,874
01 07 91,887
01 08 91,882
01 09 91,868
01 10 91,878
01 11 91,916
01 12 91,947
01 01 92,969
01 02 92,1102
01 03 92,1037
01 04 92,945
01 05 92,1038
01 06 92,999
01 07 92,984
01 08 92,1037
01 09 92,1024
01 10 92,1093
01 11 92,1078
01 12 92,1075
01 01 93,1091
01 02 93,1063
01 03 93,950
01 04 93,1110
01 05 93,1128
01 06 93,1081
01 07 93,1086
01 08 93,1162
01 09 93,1143
01 10 93,1209
01 11 93,1228
01 12 93,1316
01 01 94,1140
01 02 94,1133
01 03 94,1306
01 04 94,1206
01 05 94,1244
01 06 94,1193
01 07 94,1231
01 08 94,1149
01 09 94,1201
01 10 94,1152
01 11 94,1187
01 12 94,1151
01 01 95,1083
01 02 95,1053
01 03 95,996
01 04 95,1013
01 05 95,1024
01 06 95,1022
01 07 95,1133
01 08 95,1138
01 09 95,1095
01 10 95,1128
01 11 95,1131
01 12 95,1168
01 01 96,1143
01 02 96,1158
01 03 96,1147
01 04 96,1211
01 05 96,1156
01 06 96,1192
01 07 96,1151
01 08 96,1252
01 09 96,1148
01 10 96,1113
01 11 96,1121
01 12 96,1060
01 01 97,1108
01 02 97,1181
01 03 97,1130
01 04 97,1124
01 05 97,1105
01 06 97,1120
01 07 97,1133
01 08 97,1100
01 09 97,1205
01 10 97,1127
01 11 97,1154
01 12 97,1149
01 01 98,1227
01 02 98,1237
01 03 98,1221
01 04 98,1230
01 05 98,1212
01 06 98,1275
01 07 98,1300
01 08 98,1274
01 09 98,1262
01 10 98,1298
01 11 98,1383
01 12 98,1412
01 01 99,1349
01 02 99,1317
01 03 99,1345
01 04 99,1220
01 05 99,1312
01 06 99,1266
01 07 99,1308
01 08 99,1265
01 09 99,1286
01 10 99,1310
01 11 99,1321
01 12 99,1375
01 01 00,1268
01 02 00,1255
01 03 00,1313
01 04 00,1275
01 05 00,1230
01 06 00,1202
01 07 00,1142
01 08 00,1231
01 09 00,1195
01 10 00,1235
01 11 00,1212
01 12 00,1226
01 01 01,1275
01 02 01,1280
01 03 01,1218
01 04 01,1311
01 05 01,1285
01 06 01,1295
01 07 01,1298
01 08 01,1286
01 09 01,1243
01 10 01,1240
01 11 01,1244
01 12 01,1285
01 01 02,1318
01 02 02,1501
01 03 02,1292
01 04 02,1277
01 05 02,1402
01 06 02,1368
01 07 02,1323
01 08 02,1247
01 09 02,1446
01 10 02,1352
01 11 02,1394
01 12 02,1439
01 01 03,1537
01 02 03,1301
01 03 03,1399
01 04 03,1374
01 05 03,1391
01 06 03,1513
01 07 03,1535
01 08 03,1484
01 09 03,1555
01 10 03,1631
01 11 03,1694
01 12 03,1647
01 01 04,1560
01 02 04,1481
01 03 04,1632
01 04 04,1646
01 05 04,1652
01 06 04,1526
01 07 04,1675
01 08 04,1691
01 09 04,1555
01 10 04,1660
01 11 04,1458
01 12 04,1714
01 01 05,1739
01 02 05,1792
01 03 05,1583
01 04 05,1658
01 05 05,1714
01 06 05,1719
01 07 05,1724
01 08 05,1728
01 09 05,1789
01 10 05,1740
01 11 05,1808
01 12 05,1628
01 01 06,1823
01 02 06,1804
01 03 06,1601
01 04 06,1511
01 05 06,1570
01 06 06,1451
01 07 06,1424
01 08 06,1364
01 09 06,1384
01 10 06,1212
01 11 06,1290
01 12 06,1249
01 01 07,1130
01 02 07,1189
01 03 07,1202
01 04 07,1197
01 05 07,1130
01 06 07,1131
01 07 07,1042
01 08 07,957
01 09 07,935
01 10 07,878
01 11 07,833
01 12 07,805
01 01 08,773
01 02 08,724
01 03 08,728
01 04 08,682
01 05 08,679
01 06 08,647
01 07 08,615
01 08 08,607
01 09 08,537
01 10 08,542
01 11 08,459
01 12 08,403
01 01 09,358
01 02 09,358
01 03 09,353
01 04 09,387
01 05 09,408
01 06 09,482
01 07 09,509
01 08 09,487
01 09 09,510
01 10 09,476
01 11 09,497
01 12 09,484
01 01 10,510
01 02 10,526
01 03 10,542
01 04 10,566
01 05 10,457
01 06 10,445
01 07 10,426
01 08 10,417
01 09 10,449
01 10 10,438
01 11 10,452
01 12 10,429
01 01 11,430
01 02 11,391
01 03 11,429
01 04 11,415
01 05 11,414
01 06 11,435
01 07 11,432
01 08 11,422
01 09 11,418
01 10 11,439
01 11 11,465
01 12 11,522
01 01 12,518
01 02 12,466
01 03 12,472
01 04 12,504
01 05 12,518
01 06 12,524
01 07 12,517
01 08 12,536
01 09 12,594
01 10 12,611
01 11 12,569
01 12 12,615
01 01 13,604
01 02 13,651
01 03 13,624
01 04 13,587
01 05 13,608
01 06 13,614
01 07 13,593
01 08 13,631
01 09 13,577
01 10 13,595
01 11 13,699
01 12 13,647
01 01 14,567
01 02 14,594
01 03 14,652
01 04 14,646
01 05 14,652
01 06 14,603
01 07 14,656
01 08 14,644
01 09 14,664
01 10 14,699
01 11 14,658
01 12 14,720
01 01 15,703
01 02 15,584
01 03 15,627
01 04 15,742
01 05 15,708
01 06 15,700
01 07 15,759
01 08 15,734
01 09 15,746
01 10 15,705
01 11 15,774
01 12 15,765
01 01 16,752
01 02 16,859
01 03 16,753
01 04 16,777
01 05 16,753
01 06 16,769
01 07 16,769
01 08 16,734
01 09 16,777
01 10 16,859
01 11 16,817
01 12 16,801
01 01 17,785
01 02 17,864
01 03 17,836
01 04 17,825
