DATE,HSN1F
01 01 87,709
01 02 87,732
01 03 87,713
01 04 87,735
01 05 87,651
01 06 87,637
01 07 87,658
01 08 87,657
01 09 87,666
01 10 87,650
01 11 87,625
01 12 87,595
01 01 88,585
01 02 88,663
01 03 88,669
01 04 88,699
01 05 88,684
01 06 88,717
01 07 88,679
01 08 88,688
01 09 88,703
01 10 88,718
01 11 88,628
01 12 88,658
01 01 89,719
01 02 89,622
01 03 89,567
01 04 89,608
01 05 89,656
01 06 89,642
01 07 89,731
01 08 89,697
01 09 89,639
01 10 89,645
01 11 89,684
01 12 89,630
01 01 90,620
01 02 90,591
01 03 90,574
01 04 90,542
01 05 90,534
01 06 90,545
01 07 90,542
01 08 90,528
01 09 90,496
01 10 90,465
01 11 90,493
01 12 90,464
01 01 91,401
01 02 91,482
01 03 91,507
01 04 91,508
01 05 91,517
01 06 91,516
01 07 91,511
01 08 91,526
01 09 91,487
01 10 91,524
01 11 91,575
01 12 91,558
01 01 92,676
01 02 92,639
01 03 92,553
01 04 92,546
01 05 92,554
01 06 92,596
01 07 92,627
01 08 92,636
01 09 92,650
01 10 92,621
01 11 92,614
01 12 92,650
01 01 93,596
01 02 93,604
01 03 93,602
01 04 93,701
01 05 93,626
01 06 93,653
01 07 93,655
01 08 93,645
01 09 93,726
01 10 93,704
01 11 93,769
01 12 93,812
01 01 94,619
01 02 94,686
01 03 94,747
01 04 94,692
01 05 94,691
01 06 94,621
01 07 94,628
01 08 94,656
01 09 94,677
01 10 94,715
01 11 94,646
01 12 94,629
01 01 95,626
01 02 95,559
01 03 95,616
01 04 95,621
01 05 95,674
01 06 95,725
01 07 95,765
01 08 95,701
01 09 95,678
01 10 95,696
01 11 95,664
01 12 95,709
01 01 96,714
01 02 96,769
01 03 96,721
01 04 96,736
01 05 96,746
01 06 96,721
01 07 96,770
01 08 96,826
01 09 96,770
01 10 96,720
01 11 96,771
01 12 96,805
01 01 97,830
01 02 97,801
01 03 97,831
01 04 97,744
01 05 97,760
01 06 97,793
01 07 97,805
01 08 97,815
01 09 97,840
01 10 97,800
01 11 97,864
01 12 97,793
01 01 98,872
01 02 98,866
01 03 98,836
01 04 98,866
01 05 98,887
01 06 98,923
01 07 98,876
01 08 98,846
01 09 98,864
01 10 98,893
01 11 98,995
01 12 98,949
01 01 99,875
01 02 99,848
01 03 99,863
01 04 99,918
01 05 99,888
01 06 99,923
01 07 99,900
01 08 99,893
01 09 99,826
01 10 99,872
01 11 99,863
01 12 99,873
01 01 00,873
01 02 00,856
01 03 00,900
01 04 00,841
01 05 00,857
01 06 00,793
01 07 00,887
01 08 00,848
01 09 00,912
01 10 00,933
01 11 00,880
01 12 00,983
01 01 01,936
01 02 01,963
01 03 01,939
01 04 01,909
01 05 01,885
01 06 01,882
01 07 01,880
01 08 01,866
01 09 01,853
01 10 01,871
01 11 01,924
01 12 01,979
01 01 02,880
01 02 02,948
01 03 02,923
01 04 02,936
01 05 02,978
01 06 02,957
01 07 02,956
01 08 02,1014
01 09 02,1044
01 10 02,1006
01 11 02,1024
01 12 02,1048
01 01 03,999
01 02 03,936
01 03 03,999
01 04 03,1012
01 05 03,1078
01 06 03,1193
01 07 03,1168
01 08 03,1206
01 09 03,1131
01 10 03,1144
01 11 03,1093
01 12 03,1129
