DATE,NA000334Q
01 01 47,58497
01 04 47,60672
01 07 47,62196
01 10 47,68250
01 01 48,64258
01 04 48,66539
01 07 48,69378
01 10 48,74295
01 01 49,66185
01 04 49,66340
01 07 49,68625
01 10 49,71322
01 01 50,68032
01 04 50,70872
01 07 50,77178
01 10 50,83746
01 01 51,81603
01 04 51,84645
01 07 51,87586
01 10 51,93076
01 01 52,87610
01 04 52,88913
01 07 52,91270
01 10 52,99548
01 01 53,94008
01 04 53,97392
01 07 53,96695
01 10 53,101121
01 01 54,93581
01 04 54,96090
01 07 54,96905
01 10 54,103980
01 01 55,99833
01 04 55,104406
01 07 55,107058
01 10 55,114181
01 01 56,106892
01 04 56,110356
01 07 56,111816
01 10 56,120287
01 01 57,113459
01 04 57,117125
01 07 57,119108
01 10 57,124349
01 01 58,113202
01 04 58,117802
01 07 58,120079
01 10 58,130149
01 01 59,123707
01 04 59,131641
01 07 59,130194
01 10 59,136112
01 01 60,131022
01 04 60,136488
01 07 60,135021
01 10 60,139850
01 01 61,132138
01 04 61,140168
01 07 61,140509
01 10 61,149394
01 01 62,144274
01 04 62,150952
01 07 62,150614
01 10 62,158078
01 01 63,150949
01 04 63,158886
01 07 63,159597
01 10 63,168017
01 01 64,162413
01 04 64,170097
01 07 64,171593
01 10 64,180356
01 01 65,173462
01 04 65,183818
01 07 65,185525
01 10 65,199483
01 01 66,191022
01 04 66,201635
01 07 66,203439
01 10 66,217316
01 01 67,204098
01 04 67,213246
01 07 67,214456
01 10 67,228140
01 01 68,218405
01 04 68,234781
01 07 68,235737
01 10 68,251704
01 01 69,238912
01 04 69,254764
01 07 69,255302
01 10 69,268638
01 01 70,253998
01 04 70,268532
01 07 70,268019
01 10 70,282764
01 01 71,273782
01 04 71,291216
01 07 71,291043
01 10 71,308808
01 01 72,299204
01 04 72,318894
01 07 72,319052
01 10 72,341962
01 01 73,333807
01 04 73,354356
01 07 73,354349
01 10 73,382865
01 01 74,361840
01 04 74,384120
01 07 74,385975
01 10 74,413310
01 01 75,391688
01 04 75,414253
01 07 75,423323
01 10 75,455641
01 01 76,441178
01 04 76,465343
01 07 76,466535
01 10 76,500358
01 01 77,481996
01 04 77,515010
01 07 77,526844
01 10 77,557979
