DATE,QUSR628BIS
1970-01-01,60.8816
1970-04-01,60.3241
1970-07-01,60.5934
1970-10-01,60.5377
1971-01-01,61.7233
1971-04-01,62.7157
1971-07-01,62.7235
1971-10-01,63.9194
1972-01-01,63.645
1972-04-01,64.929
1972-07-01,65.5888
1972-10-01,66.3904
1973-01-01,68.4628
1973-04-01,68.5658
1973-07-01,68.8102
1973-10-01,68.6874
1974-01-01,68.4321
1974-04-01,67.847
1974-07-01,67.6113
1974-10-01,66.0488
1975-01-01,66.5961
1975-04-01,67.4645
1975-07-01,67.2381
1975-10-01,67.4157
1976-01-01,65.0405
1976-04-01,66.1975
1976-07-01,66.8541
1976-10-01,68.7605
1977-01-01,70.3859
1977-04-01,72.0639
1977-07-01,73.5484
1977-10-01,74.8115
1978-01-01,76.6992
1978-04-01,77.3303
1978-07-01,78.6399
1978-10-01,79.3141
1979-01-01,80.8375
1979-04-01,81.6264
1979-07-01,81.9186
1979-10-01,82.4854
1980-01-01,81.096
1980-04-01,79.2401
1980-07-01,80.2749
1980-10-01,79.8359
1981-01-01,79.2558
1981-04-01,78.4051
1981-07-01,76.9919
1981-10-01,76.7787
1982-01-01,76.4875
1982-04-01,75.4764
1982-07-01,74.1329
1982-10-01,74.4624
1983-01-01,75.298
1983-04-01,75.3405
1983-07-01,75.4701
1983-10-01,75.7442
1984-01-01,75.8045
1984-04-01,75.9799
1984-07-01,76.2591
1984-10-01,76.2544
1985-01-01,76.6729
1985-04-01,77.4179
1985-07-01,77.5253
1985-10-01,78.3489
1986-01-01,79.7604
1986-04-01,81.4684
1986-07-01,82.7802
1986-10-01,83.61
1987-01-01,85.4172
1987-04-01,86.2084
1987-07-01,87.0838
1987-10-01,88.1099
1988-01-01,88.9444
1988-04-01,90.0403
1988-07-01,91.3213
1988-10-01,92.6806
1989-01-01,93.6345
1989-04-01,93.5097
1989-07-01,94.0096
1989-10-01,94.2672
1990-01-01,93.9572
1990-04-01,93.1058
1990-07-01,91.3087
1990-10-01,89.4099
1991-01-01,88.0188
1991-04-01,88.1326
1991-07-01,87.1434
1991-10-01,86.2675
1992-01-01,85.8626
1992-04-01,85.0045
1992-07-01,84.2138
1992-10-01,83.8693
1993-01-01,83.4094
1993-04-01,83.1773
1993-07-01,83.4392
1993-10-01,83.6219
1994-01-01,83.3512
1994-04-01,83.308
1994-07-01,82.9701
1994-10-01,82.945
1995-01-01,82.5535
1995-04-01,82.3464
1995-07-01,82.7374
1995-10-01,82.7548
1996-01-01,82.7042
1996-04-01,82.4728
1996-07-01,82.4939
1996-10-01,82.4167
1997-01-01,82.5456
1997-04-01,83.0428
1997-07-01,83.735
1997-10-01,84.66
1998-01-01,86.1238
1998-04-01,86.8105
1998-07-01,88.0035
1998-10-01,89.3636
1999-01-01,90.3591
1999-04-01,91.294
1999-07-01,92.5151
1999-10-01,93.9263
2000-01-01,95.3071
2000-04-01,96.7197
2000-07-01,98.0394
2000-10-01,99.7249
2001-01-01,101.1505
2001-04-01,101.8607
2001-07-01,103.6665
2001-10-01,105.6761
2002-01-01,107.2219
2002-04-01,108.8292
2002-07-01,111.1348
2002-10-01,113.0461
2003-01-01,114.1698
2003-04-01,116.2112
2003-07-01,118.9971
2003-10-01,122.8818
2004-01-01,125.9256
2004-04-01,129.0662
2004-07-01,132.9919
2004-10-01,137.1913
2005-01-01,141.9495
2005-04-01,145.6174
2005-07-01,148.8674
2005-10-01,152.2196
2006-01-01,154.2137
2006-04-01,150.5794
2006-07-01,148.5946
2006-10-01,149.8723
2007-01-01,146.9114
2007-04-01,139.8448
2007-07-01,135.5499
2007-10-01,130.27
2008-01-01,123.7454
2008-04-01,115.5766
2008-07-01,109.166
2008-10-01,106.558
2009-01-01,103.9789
2009-04-01,102.8887
2009-07-01,102.4965
2009-10-01,102.8783
2010-01-01,101.5417
2010-04-01,101.3717
2010-07-01,99.1148
2010-10-01,97.9877
2011-01-01,95.107
2011-04-01,93.9942
2011-07-01,93.986
2011-10-01,94.0373
2012-01-01,94.122
2012-04-01,95.7624
2012-07-01,97.4529
2012-10-01,99.5462
2013-01-01,101.4708
2013-04-01,103.5275
2013-07-01,105.7225
2013-10-01,108.08
2014-01-01,108.6619
2014-04-01,108.0911
2014-07-01,109.4017
2014-10-01,111.9826
2015-01-01,114.0104
2015-04-01,113.9663
2015-07-01,115.2859
2015-10-01,117.5019
2016-01-01,118.8551
2016-04-01,118.8013
2016-07-01,120.063
2016-10-01,121.6771
2017-01-01,122.3348
2017-04-01,123.4097
2017-07-01,124.7998
2017-10-01,126.3156
2018-01-01,127.1635
2018-04-01,127.3142
2018-07-01,128.1373
2018-10-01,129.3282
2019-01-01,129.8613
2019-04-01,129.5894
2019-07-01,130.7582
2019-10-01,132.4256
2020-01-01,133.7104
2020-04-01,135.4988
2020-07-01,138.3902
2020-10-01,143.237
2021-01-01,146.2106
2021-04-01,149.8381
2021-07-01,153.9822
2021-10-01,157.7167
2022-01-01,161.596
2022-04-01,161.7122
2022-07-01,158.1889
2022-10-01,157.5075
2023-01-01,157.702
2023-04-01,157.8759
