category,Median Home Price (NSA),CPI-Adjusted Price
Thu Jan 15 1953,18080.26,208688.34
Sun Feb 15 1953,18080.26,209475.85
Sun Mar 15 1953,18080.26,208688.34
Wed Apr 15 1953,18122.25,209173
Fri May 15 1953,18143.25,208631.07
Mon Jun 15 1953,18143.25,207852.59
Wed Jul 15 1953,18185.25,208333.75
Sat Aug 15 1953,18206.25,207798.96
Tue Sep 15 1953,18227.25,208038.65
Thu Oct 15 1953,18227.25,207268.14
Sun Nov 15 1953,18206.25,207798.96
Tue Dec 15 1953,18206.25,207798.96
Fri Jan 15 1954,18206.25,207798.96
Mon Feb 15 1954,18227.25,208038.65
Mon Mar 15 1954,18227.25,208038.65
Thu Apr 15 1954,18206.25,208574.33
Sat May 15 1954,18206.25,207798.96
Tue Jun 15 1954,18227.25,208038.65
Thu Jul 15 1954,18290.25,208757.71
Sun Aug 15 1954,18332.24,209236.96
Wed Sep 15 1954,18374.24,210498.86
Fri Oct 15 1954,18353.24,210258.28
Mon Nov 15 1954,18353.24,210258.28
Wed Dec 15 1954,18374.24,211287.24
Sat Jan 15 1955,18395.24,211528.72
Tue Feb 15 1955,18332.24,210804.28
Tue Mar 15 1955,18290.25,210321.43
Fri Apr 15 1955,18185.25,209114.03
Sun May 15 1955,18185.25,209114.03
Wed Jun 15 1955,18269.25,210079.95
Fri Jul 15 1955,18332.24,210017.7
Mon Aug 15 1955,18437.24,211220.6
Thu Sep 15 1955,18479.24,210914.76
Sat Oct 15 1955,18458.24,210675.08
Tue Nov 15 1955,18416.24,210195.71
Thu Dec 15 1955,18374.24,210498.86
Sun Jan 15 1956,18332.24,210017.7
Wed Feb 15 1956,18269.25,209296.07
Thu Mar 15 1956,18206.25,208574.33
Sun Apr 15 1956,18122.25,206840.22
Tue May 15 1956,18143.25,206312.94
Fri Jun 15 1956,18332.24,206929.2
Sun Jul 15 1956,18479.24,207065.95
Wed Aug 15 1956,18605.23,209241.37
Sat Sep 15 1956,18584.23,208242.4
Mon Oct 15 1956,18563.24,207250.81
Thu Nov 15 1956,18521.24,206781.9
Sat Dec 15 1956,18542.24,206266.3
Tue Jan 15 1957,18605.23,206967.01
Fri Feb 15 1957,18773.23,208081.94
Fri Mar 15 1957,18773.23,207333.44
Mon Apr 15 1957,18899.22,207976.77
Wed May 15 1957,18962.22,207924.81
Sat Jun 15 1957,18899.22,206496.51
Mon Jul 15 1957,18899.22,205037.17
Thu Aug 15 1957,18899.22,205037.17
