DATE,HNFSEPUSSA,HOUST1F,HSN1F,INTDSRUSM193N,LFACTTTTUSM657S,MSACSR,NA000334Q,NASDAQCOM,PERMIT,PERMIT1,QUSR628BIS,RSAHORUSQ156S,TTLCONS,UNRATE,Median Home Price (NSA),CPI-Adjusted Price,CSUSHPISA
2000-01-01,311.0,1268,873,5.0,1.490972128,4.3,2448892.0,4013.494,1727.0,1277.0,95.3071,67.1,784940.0,4.0,131559.13,239289.53,100.551
2000-02-01,299.0,1255,856,5.24,0.132848798,4.3,2448892.0,4410.871,1692.0,1241.0,95.3071,67.1,793737.0,4.1,131318.85,237445.83,101.339
2000-03-01,313.0,1313,900,5.34,-0.015443365,4.3,2448892.0,4802.988260869565,1651.0,1253.0,95.3071,67.1,809459.0,4.0,132827.82,238210.25,102.127
2000-04-01,305.0,1275,841,5.5,0.22255922,4.4,2569266.0,3863.637368421053,1597.0,1192.0,96.7197,67.3,804766.0,3.8,134096.51,240345.1,102.922
2000-05-01,305.0,1230,857,5.71,-0.254288937,4.4,2569266.0,3528.416818181818,1543.0,1182.0,96.7197,67.3,805005.0,4.0,135144.14,241940.32,103.678
2000-06-01,306.0,1202,793,6.0,0.142568194,4.8,2569266.0,3865.4768181818185,1572.0,1156.0,96.7197,67.3,795411.0,4.0,136537.77,243159.2,104.424
2000-07-01,303.0,1142,887,6.0,-0.219508945,4.1,2577927.0,4017.685,1542.0,1152.0,98.0394,67.5,783795.0,4.0,137220.17,243808.8,105.054
2000-08-01,302.0,1231,848,6.0,0.165872447,4.4,2577927.0,3909.596956521739,1552.0,1173.0,98.0394,67.5,805341.0,4.1,137623.85,244526.04,105.768
2000-09-01,300.0,1195,912,6.0,0.002806742,4.0,2577927.0,3875.822,1570.0,1189.0,98.0394,67.5,814330.0,3.9,138200.52,244278.37,106.538
2000-10-01,301.0,1235,933,6.0,0.072973238,4.0,2655636.0,3333.8245454545454,1577.0,1224.0,99.7249,67.5,816100.0,3.9,138652.25,244654.29,107.382
2000-11-01,305.0,1212,880,6.0,0.238392394,4.2,2655636.0,3055.4152380952382,1614.0,1208.0,99.7249,67.5,820054.0,3.9,139084.76,245276.49,108.302
2000-12-01,298.0,1226,983,6.0,0.200053161,3.6,2655636.0,2657.8075,1543.0,1180.0,99.7249,67.5,811516.0,3.9,139507.66,246163.67,109.14
2001-01-01,296.0,1275,936,5.52,0.385345694,3.8,2562488.0,2656.864285714286,1699.0,1251.0,101.1505,67.6,814479.0,4.2,140103.56,245662.11,109.846
2001-02-01,296.0,1280,963,5.0,-0.068845619,3.7,2562488.0,2449.5694736842106,1656.0,1242.0,101.1505,67.6,813647.0,4.2,141016.63,246278.57,110.5
2001-03-01,292.0,1218,939,4.81,0.155183332,3.8,2562488.0,1986.663181818182,1659.0,1232.0,101.1505,67.6,828057.0,4.3,142275.7,247913.39,111.109
2001-04-01,294.0,1311,909,4.28,-0.246657958,3.9,2656407.0,1933.928,1666.0,1259.0,101.8607,67.8,842392.0,4.4,143515.56,249084.28,111.652
2001-05-01,295.0,1285,885,3.73,-0.174828828,4.0,2656407.0,2181.1286363636364,1665.0,1240.0,101.8607,67.8,848146.0,4.3,144697.75,250005.47,112.164
2001-06-01,301.0,1295,882,3.47,0.027212213,4.2,2656407.0,2112.052857142857,1626.0,1252.0,101.8607,67.8,855730.0,4.5,145899.15,251656.36,112.796
2001-07-01,305.0,1298,880,3.25,0.207175094,4.2,2651366.0,2033.9785714285715,1598.0,1235.0,103.6665,67.9,850471.0,4.6,146725.72,253794.99,113.491
2001-08-01,308.0,1286,866,3.16,-0.257563312,4.4,2651366.0,1929.712608695652,1615.0,1241.0,103.6665,67.9,847465.0,4.9,147273.57,254742.62,114.167
2001-09-01,310.0,1243,853,2.77,0.492029815,4.4,2651366.0,1573.3100000000002,1565.0,1192.0,103.6665,67.9,837412.0,5.0,147782.96,254476.79,114.812
2001-10-01,308.0,1240,871,2.02,0.067366257,4.3,2711715.0,1656.428260869565,1566.0,1185.0,105.6761,67.9,845941.0,5.3,148350.03,256315.79,115.31
2001-11-01,308.0,1244,924,1.58,0.106880613,4.1,2711715.0,1870.0623809523809,1651.0,1229.0,105.6761,67.9,843911.0,5.5,148321.2,256699.35,115.857
